season,week,player_id,gsis_id,full_name,position,nfl_team,injury_status,injury_body_part,status,on_bye,played,captures,captured_at_utc,finalized_at_utc
2026,1,10213,00-0038563,Tre Tucker,WR,LV,,,Active,false,true,7,2026-09-10T18:37:30.044234+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,10219,00-0038611,Chris Rodriguez,RB,JAX,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,10222,00-0039146,Jayden Reed,WR,GB,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,10229,00-0039067,Rashee Rice,WR,KC,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,10232,00-0038559,Michael Wilson,WR,ARI,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,10236,00-0038933,Dalton Kincaid,TE,BUF,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,10859,00-0039065,Sam LaPorta,TE,DET,Questionable,Hip,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11559,00-0039917,Michael Penix,QB,ATL,Out,Knee - ACL,Active,false,,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11560,00-0039918,Caleb Williams,QB,CHI,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11563,00-0039732,Bo Nix,QB,DEN,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11564,00-0039851,Drake Maye,QB,NE,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11565,00-0039923,J.J. McCarthy,QB,MIN,Out,Coach's Decision,Active,false,,9,2026-09-13T21:34:11.139457+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11566,00-0039910,Jayden Daniels,QB,WAS,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11571,00-0039798,Isaiah Davis,RB,NYJ,Questionable,Knee,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11575,00-0039875,Ray Davis,RB,BUF,,,Active,false,true,7,2026-09-10T18:37:30.044234+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11576,00-0039794,Braelon Allen,RB,NYJ,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11581,00-0039811,MarShawn Lloyd,RB,GB,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11583,00-0039344,Jonathon Brooks,RB,CAR,Questionable,Undisclosed,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11584,00-0039361,Bucky Irving,RB,TB,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11586,00-0039738,Blake Corum,RB,LAR,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11597,00-0039847,Theo Johnson,TE,NYG,Questionable,Undisclosed,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11603,00-0039793,AJ Barner,TE,SEA,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11604,00-0039338,Brock Bowers,TE,LV,Out,Knee - Meniscus,Active,false,,9,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11618,00-0039855,Jalen McMillan,WR,TB,Out,Knee,Active,false,,9,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11620,00-0039919,Rome Odunze,WR,CHI,Questionable,Leg,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11624,00-0039894,Xavier Worthy,WR,KC,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11625,00-0039890,Adonai Mitchell,WR,NYJ,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11627,00-0039868,Troy Franklin,WR,DEN,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11628,00-0039849,Marvin Harrison,WR,ARI,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11631,00-0039893,Brian Thomas,WR,JAX,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11632,00-0039337,Malik Nabers,WR,NYG,Questionable,Knee - ACL,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11635,00-0039915,Ladd McConkey,WR,LAC,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11637,00-0039901,Keon Coleman,WR,BUF,Questionable,Foot,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11638,00-0039916,Ricky Pearsall,WR,SF,IR,Knee - PCL,Inactive,false,,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11643,00-0039874,Jaylen Wright,RB,MIA,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11646,00-0039491,Jalen Coker,WR,CAR,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11655,00-0039384,Tyrone Tracy,RB,NYG,Questionable,Neck,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,11834,00-0039424,Devaughn Vele,WR,NO,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12469,00-0040162,Dylan Sampson,RB,CLE,Out,Knee,Active,false,true,9,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12470,00-0040206,Riley Leonard,QB,IND,Out,Coach's Decision,Active,false,,9,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12471,00-0040179,DJ Giddens,RB,IND,Out,Coach's Decision,Active,false,,9,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12474,00-0040583,Woody Marks,RB,HOU,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12481,00-0040715,Cam Skattebo,RB,NYG,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12483,00-0040729,Jack Bech,WR,LV,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12484,00-0040130,Jayden Higgins,WR,HOU,IR,Knee - ACL,Inactive,false,,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12485,00-0040237,Tez Johnson,WR,TB,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12487,00-0040737,Terrance Ferguson,TE,LAR,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12489,00-0040730,RJ Harvey,RB,DEN,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12490,00-0040719,Bhayshul Tuten,RB,JAX,Questionable,Illness,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12492,00-0040134,Pat Bryant,WR,DEN,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12493,00-0040189,Oronde Gadsden,TE,LAC,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12495,00-0040198,Ollie Gordon,RB,MIA,Questionable,Undisclosed,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12497,00-0040648,Tory Horton,WR,SEA,Out,Hamstring,Active,false,,9,2026-09-10T18:37:30.044234+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12498,00-0040736,Mason Taylor,TE,NYJ,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12499,00-0040170,Elic Ayomanor,WR,TEN,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12500,00-0040234,Quinn Ewers,QB,JAX,Out,Coach's Decision,Active,false,,9,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12501,00-0040667,Matthew Golden,WR,GB,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12502,00-0040584,Gunnar Helm,TE,TEN,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12504,00-0040142,Kaleb Johnson,RB,GB,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12506,00-0040663,Harold Fannin,TE,CLE,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12507,00-0040666,Omarion Hampton,RB,LAC,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12508,00-0040691,Jaxson Dart,QB,NYG,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12509,00-0040727,Tre' Harris,WR,LAC,Questionable,Undisclosed,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12512,00-0040784,Quinshon Judkins,RB,CLE,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12514,00-0040129,Emeka Egbuka,WR,TB,Questionable,Undisclosed,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12517,00-0040126,Colston Loveland,TE,CHI,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12518,00-0040128,Tyler Warren,TE,IND,Questionable,Groin,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12519,00-0040735,Luther Burden,WR,CHI,Questionable,Lower Body,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12522,00-0040676,Cam Ward,QB,TEN,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12524,00-0040668,Shedeur Sanders,QB,CLE,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12526,00-0040124,Tetairoa McMillan,WR,CAR,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12527,00-0040122,Ashton Jeanty,RB,LV,Questionable,Knee,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12529,00-0040734,TreVeyon Henderson,RB,NE,Out,Ankle,Active,false,,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12530,00-0040718,Travis Hunter,WR,JAX,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12531,00-0040644,Trevor Etienne,RB,CAR,IR,Ankle,Inactive,false,,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12533,00-0040242,Jacory Croskey-Merritt,RB,WAS,Questionable,Undisclosed,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12534,00-0040236,Kyle Monangai,RB,CHI,Questionable,Knee,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12536,00-0040138,Jaylin Noel,WR,HOU,Questionable,Hamstring,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12543,00-0040208,Tahj Brooks,RB,CIN,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12545,00-0040743,Tyler Shough,QB,NO,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,12641,00-0040164,Jaylin Lane,WR,WAS,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13268,00-0040876,Elijah Sarratt,WR,BAL,Out,Coach's Decision,Active,false,,9,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13269,00-0041562,Fernando Mendoza,QB,LV,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13272,00-0041561,Carson Beck,QB,ARI,Out,Coach's Decision,Active,false,,9,2026-09-13T21:34:11.139457+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13274,00-0041489,Germie Bernard,WR,PIT,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13275,00-0041568,Ty Simpson,QB,LAR,Out,Coach's Decision,Active,false,,9,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13276,00-0041511,Omar Cooper,WR,NYJ,Out,Ankle,Active,false,true,9,2026-09-13T21:34:11.139457+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13278,00-0041510,Max Klare,TE,LAR,Out,Coach's Decision,Active,false,,9,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13279,00-0041438,Carnell Tate,WR,TEN,Questionable,Undisclosed,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13281,00-0041029,Jordyn Tyson,WR,NO,IR,Hamstring,Inactive,false,,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13285,00-0041042,Malachi Fields,WR,NYG,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13286,00-0041512,Jadarian Price,RB,SEA,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13287,00-0041027,Jeremiyah Love,RB,ARI,Questionable,Ankle,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13288,00-0040886,Nicholas Singleton,RB,TEN,Out,Coach's Decision,Active,false,,9,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13289,00-0041565,Drew Allar,QB,PIT,Out,Coach's Decision,Active,false,,9,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13293,00-0040870,Ja'Kobi Lane,WR,BAL,Out,Wrist,Active,false,true,9,2026-09-13T21:34:11.139457+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13294,00-0040867,Makai Lemon,WR,PHI,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13296,00-0041523,Caleb Douglas,WR,MIA,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13298,00-0041547,KC Concepcion,WR,CLE,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13301,00-0041040,Antonio Williams,WR,WAS,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13302,00-0040888,Adam Randall,RB,BAL,IR,Undisclosed,Inactive,false,,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13305,,Mike Washington,RB,LV,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13306,00-0041092,Taylen Green,QB,CLE,Out,Coach's Decision,Active,false,,7,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13311,00-0041525,Chris Bell,WR,MIA,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13317,00-0041048,Ted Hurst,WR,TB,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13319,00-0041041,Oscar Delp,TE,NO,Out,Hamstring,Active,false,,7,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13320,00-0041044,Zachariah Branch,WR,ATL,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13330,00-0041032,Kenyon Sadiq,TE,NYJ,Questionable,Abdomen,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13337,00-0041013,Emmett Johnson,RB,KC,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13345,00-0041496,Jonah Coleman,RB,DEN,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13346,00-0041037,Denzel Boston,WR,CLE,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13349,00-0041483,Eli Stowers,TE,PHI,IR,Hamstring,Inactive,false,,9,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13353,00-0041047,Chris Brazzell,WR,CAR,IR,Knee,Inactive,false,,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13402,00-0041443,Skyler Bell,WR,BUF,Out,Coach's Decision,Active,false,,9,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13405,00-0041096,Kaytron Allen,RB,WAS,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13408,00-0041084,Tanner Koziol,TE,JAX,Out,Coach's Decision,Active,false,,9,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13411,00-0041051,Zavion Thomas,WR,CHI,,,Active,false,true,5,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13413,00-0040890,Cyrus Allen,WR,KC,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13414,00-0041052,Kaelon Black,RB,SF,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13417,00-0041035,De'Zhaun Stribling,WR,SF,Out,Ankle,Active,false,true,9,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13421,00-0041395,Eli Raridon,TE,NE,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13423,00-0041490,Eli Heidenreich,RB,PIT,,,Active,false,true,5,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13424,00-0041125,Seth McGowan,RB,IND,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13434,00-0041524,Will Kacmarek,TE,MIA,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,13602,,Jack Strand,QB,ATL,,,Active,false,true,7,2026-09-10T18:37:30.044234+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,1373,00-0030565,Geno Smith,QB,NYJ,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,1466,00-0030506,Travis Kelce,TE,KC,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,2133,00-0031381,Davante Adams,WR,LAR,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,2216,00-0031408,Mike Evans,WR,SF,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,2449,00-0031588,Stefon Diggs,WR,WAS,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,3163,00-0033106,Jared Goff,QB,DET,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,3198,00-0032764,Derrick Henry,RB,BAL,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,3294,00-0033077,Dak Prescott,QB,DAL,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,4017,00-0033537,Deshaun Watson,QB,CLE,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,4033,00-0033885,David Njoku,TE,LAC,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,4034,00-0033280,Christian McCaffrey,RB,SF,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,4035,00-0033906,Alvin Kamara,RB,NO,Out,Knee - MCL,Active,false,,9,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,4037,00-0033921,Chris Godwin,WR,TB,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,4046,00-0033873,Patrick Mahomes,QB,KC,Questionable,Knee - ACL,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,4199,00-0033293,Aaron Jones,RB,MIN,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,421,00-0026498,Matthew Stafford,QB,LAR,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,4217,00-0033288,George Kittle,TE,SF,Questionable,Achilles,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,4574,00-0033662,Cooper Rush,QB,ATL,,,Active,false,true,5,2026-09-13T18:17:37.991878+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,4866,00-0034844,Saquon Barkley,RB,PHI,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,4881,00-0034796,Lamar Jackson,QB,BAL,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,4892,00-0034855,Baker Mayfield,QB,TB,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,4943,00-0034869,Sam Darnold,QB,SEA,Out,Hip,Active,false,true,9,2026-09-10T18:37:30.044234+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,4983,00-0034827,DJ Moore,WR,BUF,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,4984,00-0034857,Josh Allen,QB,BUF,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,5001,00-0034383,Dalton Schultz,TE,HOU,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
2026,1,5012,00-0034753,Mark Andrews,TE,BAL,,,Active,false,true,9,2026-09-09T18:47:33.095331+00:00,2026-09-15T10:09:26.227627+00:00
